Starting...
Gathering coverage... done in 272.996041ms
 NOT COVERED ARITHMETIC_BASE at adapters/ui/model.go:144:51
 NOT COVERED ARITHMETIC_BASE at adapters/ui/model.go:147:77
 NOT COVERED ARITHMETIC_BASE at adapters/ui/model.go:147:55
 NOT COVERED INVERT_NEGATIVES at adapters/ui/model.go:147:51
 NOT COVERED ARITHMETIC_BASE at adapters/ui/model.go:147:51
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:211:18
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/model.go:211:63
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:211:63
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:216:18
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/model.go:216:63
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:216:63
 NOT COVERED INVERT_NEGATIVES at adapters/ui/model.go:225:57
 NOT COVERED ARITHMETIC_BASE at adapters/ui/model.go:225:57
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:233:18
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:235:25
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:240:18
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:246:18
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:252:18
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:260:18
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:266:18
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:274:18
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:280:17
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:292:17
 NOT COVERED INVERT_NEGATIVES at adapters/ui/model.go:294:44
 NOT COVERED ARITHMETIC_BASE at adapters/ui/model.go:294:44
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:305:17
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:311:14
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:320:9
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/model.go:365:41
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:365:41
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:365:59
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:373:24
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:441:14
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:448:9
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:463:14
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:463:33
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:470:9
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:481:16
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/model.go:484:26
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:484:26
 NOT COVERED INVERT_NEGATIVES at adapters/ui/model.go:486:37
 NOT COVERED ARITHMETIC_BASE at adapters/ui/model.go:486:37
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:497:14
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/model.go:503:25
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:503:25
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/model.go:503:52
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:503:52
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:511:9
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:522:16
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/model.go:525:26
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:525:26
 NOT COVERED INVERT_NEGATIVES at adapters/ui/model.go:527:37
 NOT COVERED ARITHMETIC_BASE at adapters/ui/model.go:527:37
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:538:16
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/model.go:668:14
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:668:14
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/model.go:668:30
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:668:30
       LIVED CONDITIONALS_NEGATION at adapters/ui/inventory.go:102:24
      KILLED ARITHMETIC_BASE at adapters/ui/render.go:93:41
      KILLED CONDITIONALS_NEGATION at adapters/ui/render.go:92:14
       LIVED ARITHMETIC_BASE at adapters/ui/render.go:115:77
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:153:14
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:157:20
 NOT COVERED INVERT_NEGATIVES at adapters/ui/render.go:164:36
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:164:36
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:180:16
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/render.go:184:9
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:184:9
 NOT COVERED INVERT_NEGATIVES at adapters/ui/render.go:185:29
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:185:29
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:198:50
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:202:19
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:202:41
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:205:28
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:210:47
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:212:63
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:219:9
       LIVED ARITHMETIC_BASE at adapters/ui/render.go:115:75
       LIVED CONDITIONALS_NEGATION at adapters/ui/render.go:248:19
 NOT COVERED INVERT_NEGATIVES at adapters/ui/render.go:259:36
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:259:36
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/render.go:260:21
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/render.go:260:21
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:260:40
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:263:28
 NOT COVERED INVERT_NEGATIVES at adapters/ui/render.go:272:34
 NOT COVERED ARITHMETIC_BASE at adapters/ui/render.go:272:34
